"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000260802",352.217779591539,1.79041666108301,0.259644499142939,6.89564642036707,5.36204122004969e-12,1.70727392446382e-08
"ENSG00000141753",1005.36277308055,1.06511871147252,0.213913415314506,4.97920483344408,6.38460432282427e-07,0.00101642900819362
"ENSG00000112379",1225.96069521652,-1.0165586845191,0.214191449129614,-4.74602832489336,2.07449674565594e-06,0.00220173254605617
"ENSG00000197956",382.769490214201,1.08630169959648,0.234876757379306,4.62498593610178,3.74623819305915e-06,0.00298200560167509
"ENSG00000064651",582.938022170355,-1.09370373007992,0.248177679926569,-4.40693832903719,1.0484202287723e-05,0.005563616680685
"ENSG00000137673",568.670148975671,1.49954681875172,0.337831136880915,4.43874662530087,9.04842607559751e-06,0.005563616680685
"ENSG00000049759",1825.88767836883,-0.89519915524073,0.210152852665193,-4.25975257479339,2.04653322033674e-05,0.00645846907389537
"ENSG00000054690",1285.93442728543,-1.12168683023505,0.260989591925632,-4.29782207772742,1.7248452572934e-05,0.00645846907389537
"ENSG00000124406",303.492557189392,-1.10091451172166,0.259495804956267,-4.24251371580825,2.21030028224651e-05,0.00645846907389537
"ENSG00000139116",288.305883441427,-1.10043092397039,0.259511339708678,-4.24039629715492,2.23125501924777e-05,0.00645846907389537
"ENSG00000157214",2286.33549595393,-1.06930019185724,0.247583137605741,-4.31895403781505,1.56770423712402e-05,0.00645846907389537
"ENSG00000099194",752.867957975323,-1.11710351685453,0.273858676388264,-4.07912406350331,4.52057086652124e-05,0.0115811764785365
"ENSG00000152377",2346.84918458364,-1.02277525451824,0.251379098297229,-4.06865670792135,4.728495421513e-05,0.0115811764785365
"ENSG00000131844",1013.65833128334,-1.00970491194066,0.252101192457073,-4.00515722317572,6.19762455100115e-05,0.0136253755074147
"ENSG00000269936",628.566448829724,1.15817225386427,0.289770977586823,3.99685387235597,6.41898971768908e-05,0.0136253755074147
"ENSG00000184678",528.519728253467,-1.14062506466288,0.286591655694074,-3.97996606670381,6.89251059914063e-05,0.0137160960922899
"ENSG00000076706",360.737902879665,1.03749499083594,0.262680445051322,3.94964684422259,7.82665835451434e-05,0.0146588707063374
"ENSG00000096006",1899.59683070287,-1.1400734487983,0.292677060534671,-3.8953290248152,9.8065517501838e-05,0.0150427684132758
"ENSG00000127418",502.255091795122,-0.999590091346738,0.254655239192893,-3.92526811745498,8.66331889825015e-05,0.0150427684132758
"ENSG00000138696",499.972384302128,-0.962670706758274,0.246846373277012,-3.89987786321641,9.62412258749007e-05,0.0150427684132758
"ENSG00000146070",329.917734873209,-1.19081926571215,0.306746797994872,-3.88209191912105,0.000103561714415241,0.0150427684132758
"ENSG00000169710",2665.46226664455,-1.03784750428758,0.267403189478835,-3.88120839661759,0.000103938726473639,0.0150427684132758
"ENSG00000132386",343.688179787449,0.912584084572958,0.242619875504536,3.76137397101211,0.000168982559227745,0.0228766364406273
"ENSG00000134755",291.370287673754,-1.00567074376915,0.268673804050006,-3.74309191521319,0.000181769700208396,0.0228766364406273
"ENSG00000167757",486.151398298568,-1.1673730821275,0.311978967030723,-3.74183264095665,0.000182683163948246,0.0228766364406273
"ENSG00000210194",265.540776931966,1.42195812164185,0.380587289890226,3.73622072889505,0.000186806704603112,0.0228766364406273
"ENSG00000157110",474.392854318024,0.934936049906557,0.251861993775258,3.71209659660211,0.000205549506353671,0.0242396158603737
